# =============================================================================
# MINISTEAM - Cache de Traduções
# Formato: idioma_destino | texto_origem || texto_traduzido
# Quebras de linha e pipes escapados como \n e \|
# =============================================================================
en | Lista de Desejos || Wish List
zh-cn | Trocar usuário || 更改用户
pl | Trocar usuário || Zmień użytkownika
ko | Trocar usuário || 사용자 변경
en | PAINEL DE TESTES: || TESTING PANEL:
de | PAINEL DE TESTES: || PRÜFGRUPPE:
zh-cn | PAINEL DE TESTES: || 测试面板：
pl | PAINEL DE TESTES: || PANEL TESTOWY:
ko | PAINEL DE TESTES: || 테스트 패널:
en | Por favor, selecione um amigo no menu de unificação. || Please select a friend from the merge menu.
de | Por favor, selecione um amigo no menu de unificação. || Bitte wählen Sie einen Freund aus dem Zusammenführungsmenü aus.
zh-cn | Por favor, selecione um amigo no menu de unificação. || 请从合并菜单中选择一位朋友。
pl | Por favor, selecione um amigo no menu de unificação. || Wybierz znajomego z menu scalania.
ko | Por favor, selecione um amigo no menu de unificação. || 병합 메뉴에서 친구를 선택해주세요.
en | Termina em || Ends in
de | Termina em || Endet in
zh-cn | Termina em || 结束于
pl | Termina em || Kończy się w
ko | Termina em || 종료 날짜
en | Criar Conta e Entrar || Create Account and Login
de | Criar Conta e Entrar || Konto erstellen und anmelden
zh-cn | Criar Conta e Entrar || 创建帐户并登录
pl | Criar Conta e Entrar || Utwórz konto i zaloguj się
ko | Criar Conta e Entrar || 계정 생성 및 로그인
en | Comprado por você || Bought by you
de | Comprado por você || Von Ihnen gekauft
zh-cn | Comprado por você || 被你买了
pl | Comprado por você || Kupiony przez Ciebie
ko | Comprado por você || 당신이 구입
en | Editar Perfil || Edit Profile
de | Editar Perfil || Profil bearbeiten
zh-cn | Editar Perfil || 编辑个人资料
pl | Editar Perfil || Edytuj profil
ko | Editar Perfil || 프로필 편집
en | Desenvolvedor: || Developedor:
de | Desenvolvedor: || Entwickelnedoder:
zh-cn | Desenvolvedor: || 开发ed或：
pl | Desenvolvedor: || Opracuj__MTTSTKN_210__lub:
ko | Desenvolvedor: || ed을 개발하거나:
en | Ir para a Loja || Go to Store
de | Ir para a Loja || Gehen Sie zum Store
zh-cn | Ir para a Loja || 前往商店
pl | Ir para a Loja || Przejdź do sklepu
ko | Ir para a Loja || 매장으로 이동
en | Escrever uma Análise || Write an Analysis
de | Escrever uma Análise || Schreiben Sie eine Analyse
zh-cn | Escrever uma Análise || 写一篇分析
pl | Escrever uma Análise || Napisz analizę
ko | Escrever uma Análise || 분석 작성
en | Total: || Total:
de | Total: || Gesamt:
zh-cn | Total: || 全部的：
pl | Total: || Całkowity:
ko | Total: || 총:
en | Limpar || To clean
de | Limpar || Zum Reinigen
zh-cn | Limpar || 清洁
pl | Limpar || Do czyszczenia
ko | Limpar || 청소하다
en | Não é possível alterar o Modo Offline com um jogo em execução. Feche o jogo primeiro. || It is not possible to change Offline Mode while a game is running. Close the game first.
de | Não é possível alterar o Modo Offline com um jogo em execução. Feche o jogo primeiro. || Es ist nicht möglich, den Offline-Modus zu ändern, während ein Spiel läuft. Schließen Sie zuerst das Spiel.
zh-cn | Não é possível alterar o Modo Offline com um jogo em execução. Feche o jogo primeiro. || 游戏运行时无法更改离线模式。先关闭游戏。
pl | Não é possível alterar o Modo Offline com um jogo em execução. Feche o jogo primeiro. || Nie można zmienić trybu offline, gdy gra jest uruchomiona. Najpierw zamknij grę.
ko | Não é possível alterar o Modo Offline com um jogo em execução. Feche o jogo primeiro. || 게임 실행 중에는 오프라인 모드를 변경할 수 없습니다. 먼저 게임을 닫으세요.
en | Comprar como presente || Buy as a gift
de | Comprar como presente || Als Geschenk kaufen
zh-cn | Comprar como presente || 购买作为礼物
pl | Comprar como presente || Kup jako prezent
ko | Comprar como presente || 선물로 구매
en | Análises de Clientes || Customer Reviews
de | Análises de Clientes || Kundenrezensionen
zh-cn | Análises de Clientes || 客户评价
pl | Análises de Clientes || Recenzje klientów
ko | Análises de Clientes || 고객 리뷰
en | Adicionar amigo || Add friend
de | Adicionar amigo || Freund hinzufügen
zh-cn | Adicionar amigo || 添加好友
pl | Adicionar amigo || Dodaj znajomego
ko | Adicionar amigo || 친구 추가
en | Coreano || Korean
de | Coreano || Koreanisch
zh-cn | Coreano || 韩国人
pl | Coreano || koreański
ko | Coreano || 한국인
en | Limpar tudo: cookies e todos os arquivos de dados (exceto as contas de usuário) || Clear all: cookies and all data files (except user accounts)
de | Limpar tudo: cookies e todos os arquivos de dados (exceto as contas de usuário) || Alles löschen: Cookies und alle Datendateien (außer Benutzerkonten)
zh-cn | Limpar tudo: cookies e todos os arquivos de dados (exceto as contas de usuário) || 全部清除：cookie 和所有数据文件（用户帐户除外）
pl | Limpar tudo: cookies e todos os arquivos de dados (exceto as contas de usuário) || Wyczyść wszystko: pliki cookie i wszystkie pliki danych (z wyjątkiem kont użytkowników)
ko | Limpar tudo: cookies e todos os arquivos de dados (exceto as contas de usuário) || 모두 지우기: 쿠키 및 모든 데이터 파일(사용자 계정 제외)
en | Alemão || German
de | Alemão || Deutsch
zh-cn | Alemão || 德语
pl | Alemão || niemiecki
ko | Alemão || 독일 사람
en | Lembre-se: a busca considera apenas o início do @usuário. || Remember: the search only considers the beginning of @user.
de | Lembre-se: a busca considera apenas o início do @usuário. || Denken Sie daran: Die Suche berücksichtigt nur den Anfang von @user.
zh-cn | Lembre-se: a busca considera apenas o início do @usuário. || 请记住：搜索仅考虑@user 的开头。
pl | Lembre-se: a busca considera apenas o início do @usuário. || Pamiętaj: wyszukiwanie uwzględnia tylko początek @user.
ko | Lembre-se: a busca considera apenas o início do @usuário. || 기억하세요: 검색에서는 @user의 시작 부분만 고려합니다.
en | Nenhum jogo disponível na sua biblioteca. || No games available in your library.
de | Nenhum jogo disponível na sua biblioteca. || In Ihrer Bibliothek sind keine Spiele verfügbar.
zh-cn | Nenhum jogo disponível na sua biblioteca. || 您的库中没有可用的游戏。
pl | Nenhum jogo disponível na sua biblioteca. || Brak gier dostępnych w Twojej bibliotece.
ko | Nenhum jogo disponível na sua biblioteca. || 라이브러리에 사용 가능한 게임이 없습니다.
en | Compre um jogo na loja ou convide amigos para unificar as bibliotecas! || Buy a game from the store or invite friends to combine libraries!
de | Compre um jogo na loja ou convide amigos para unificar as bibliotecas! || Kaufen Sie ein Spiel im Store oder laden Sie Freunde ein, Bibliotheken zu kombinieren!
zh-cn | Compre um jogo na loja ou convide amigos para unificar as bibliotecas! || 从商店购买游戏或邀请朋友组合库！
pl | Compre um jogo na loja ou convide amigos para unificar as bibliotecas! || Kup grę w sklepie lub zaproś znajomych do łączenia bibliotek!
ko | Compre um jogo na loja ou convide amigos para unificar as bibliotecas! || 상점에서 게임을 구매하거나 친구를 초대하여 라이브러리를 통합하세요!
en | ver perfil || view profile
de | ver perfil || Profil ansehen
zh-cn | ver perfil || 查看个人资料
pl | ver perfil || zobacz profil
ko | ver perfil || 프로필 보기
en | Sobre o jogo || About the game
de | Sobre o jogo || Über das Spiel
zh-cn | Sobre o jogo || 关于游戏
pl | Sobre o jogo || O grze
ko | Sobre o jogo || 게임 정보
en | Convidar para a Família || Invite to the Family
de | Convidar para a Família || Zur Familie einladen
zh-cn | Convidar para a Família || 邀请加入家庭
pl | Convidar para a Família || Zaproś do Rodziny
ko | Convidar para a Família || 가족에게 초대하기
en | Exibindo || Displaying
de | Exibindo || Anzeigen
zh-cn | Exibindo || 显示中
pl | Exibindo || Wyświetlanie
ko | Exibindo || 표시
en | dos amigos? || of friends?
de | dos amigos? || von Freunden?
zh-cn | dos amigos? || 朋友的？
pl | dos amigos? || przyjaciół?
ko | dos amigos? || 친구의?
en | *Necessária para acessar jogos com classificação etária. Sem ela, títulos +10 e +18 serão bloqueados. || *Required to access age-rated games. Without it, +10 and +18 titles will be blocked.
de | *Necessária para acessar jogos com classificação etária. Sem ela, títulos +10 e +18 serão bloqueados. || *Erforderlich für den Zugriff auf Spiele mit Altersfreigabe. Ohne sie werden die Titel +10 und +18 gesperrt.
zh-cn | *Necessária para acessar jogos com classificação etária. Sem ela, títulos +10 e +18 serão bloqueados. || *需要访问年龄分级的游戏。没有它，+10 和 +18 标题将被阻止。
pl | *Necessária para acessar jogos com classificação etária. Sem ela, títulos +10 e +18 serão bloqueados. || *Wymagane, aby uzyskać dostęp do gier przeznaczonych dla osób pełnoletnich. Bez tego tytuły +10 i +18 zostaną zablokowane.
ko | *Necessária para acessar jogos com classificação etária. Sem ela, títulos +10 e +18 serão bloqueados. || *연령 등급 게임에 액세스하려면 필요합니다. 그렇지 않으면 +10 및 +18 타이틀이 차단됩니다.
en | Minha Carteira || My Wallet
de | Minha Carteira || Mein Portemonnaie
zh-cn | Minha Carteira || 我的钱包
pl | Minha Carteira || Mój portfel
ko | Minha Carteira || 내 지갑
en | Modo Offline: || Offline Mode:
de | Modo Offline: || Offline-Modus:
zh-cn | Modo Offline: || 离线模式：
pl | Modo Offline: || Tryb offline:
ko | Modo Offline: || 오프라인 모드:
en | da lista de amigos? || from your friends list?
de | da lista de amigos? || aus deiner Freundesliste?
zh-cn | da lista de amigos? || 从你的朋友名单中？
pl | da lista de amigos? || z listy znajomych?
ko | da lista de amigos? || 친구 목록에서요?
en | Conta de || account
de | Conta de || Konto
zh-cn | Conta de || 帐户
pl | Conta de || konto
ko | Conta de || 계정
en | Traduzido automaticamente. Ver original || Automatically translated. View original
de | Traduzido automaticamente. Ver original || Automatisch übersetzt. Original ansehen
zh-cn | Traduzido automaticamente. Ver original || 自动翻译。查看原文
pl | Traduzido automaticamente. Ver original || Przetłumaczone automatycznie. Zobacz oryginał
ko | Traduzido automaticamente. Ver original || 자동으로 번역되었습니다. 원본 보기
en | Confirmar Transferência || Confirm Transfer
de | Confirmar Transferência || Bestätigen Sie die Übertragung
zh-cn | Confirmar Transferência || 确认转账
pl | Confirmar Transferência || Potwierdź transfer
ko | Confirmar Transferência || 전송 확인
en | Você ainda pode comprá-lo como presente para um amigo abaixo. || You can even buy it as a gift for a friend below.
de | Você ainda pode comprá-lo como presente para um amigo abaixo. || Sie können es unten sogar als Geschenk für einen Freund kaufen.
zh-cn | Você ainda pode comprá-lo como presente para um amigo abaixo. || 您甚至可以在下面购买它作为礼物送给朋友。
pl | Você ainda pode comprá-lo como presente para um amigo abaixo. || Możesz go nawet kupić jako prezent dla przyjaciela poniżej.
ko | Você ainda pode comprá-lo como presente para um amigo abaixo. || 아래에서 친구에게 선물로 구입할 수도 있습니다.
en | Livre || Free
de | Livre || Frei
zh-cn | Livre || 自由的
pl | Livre || Bezpłatny
ko | Livre || 무료
en | ou entre com outra conta || or sign in with another account
de | ou entre com outra conta || oder melden Sie sich mit einem anderen Konto an
zh-cn | ou entre com outra conta || 或使用其他帐户登录
pl | ou entre com outra conta || lub zaloguj się na inne konto
ko | ou entre com outra conta || 또는 다른 계정으로 로그인
en | Tipo: Compra Própria || Type: Own Purchase
de | Tipo: Compra Própria || Typ: Eigener Kauf
zh-cn | Tipo: Compra Própria || 类型：自购
pl | Tipo: Compra Própria || Typ: zakup własny
ko | Tipo: Compra Própria || 유형: 자체 구매
en | Perfil || Profile
de | Perfil || Profil
zh-cn | Perfil || 轮廓
pl | Perfil || Profil
ko | Perfil || 윤곽
en | Publicar || Publish
de | Publicar || Veröffentlichen
zh-cn | Publicar || 发布
pl | Publicar || Publikować
ko | Publicar || 게시
en | Continuar Comprando || Continue Shopping
de | Continuar Comprando || Weiter einkaufen
zh-cn | Continuar Comprando || 继续购物
pl | Continuar Comprando || Kontynuuj zakupy
ko | Continuar Comprando || 계속 쇼핑하기
en | esgotado || exhausted
de | esgotado || erschöpft
zh-cn | esgotado || 筋疲力尽的
pl | esgotado || wyczerpany
ko | esgotado || 탈진한
en | Nenhum jogo na lista de desejos. || No games on the wish list.
de | Nenhum jogo na lista de desejos. || Keine Spiele auf der Wunschliste.
zh-cn | Nenhum jogo na lista de desejos. || 愿望清单上没有游戏。
pl | Nenhum jogo na lista de desejos. || Brak gier na liście życzeń.
ko | Nenhum jogo na lista de desejos. || 위시리스트에 게임이 없습니다.
en | Nome da Família Steam || Steam Family Name
de | Nome da Família Steam || Steam-Familienname
zh-cn | Nome da Família Steam || Steam 家族名称
pl | Nome da Família Steam || Nazwisko rodzinne Steam
ko | Nome da Família Steam || Steam 제품군 이름
en | Jogar || To play
de | Jogar || Zum Spielen
zh-cn | Jogar || 玩
pl | Jogar || Grać
ko | Jogar || 놀다
en | Confirmar e Unificar Licenças || Confirm and Merge Licenses
de | Confirmar e Unificar Licenças || Lizenzen bestätigen und zusammenführen
zh-cn | Confirmar e Unificar Licenças || 确认并合并许可证
pl | Confirmar e Unificar Licenças || Potwierdź i scal licencje
ko | Confirmar e Unificar Licenças || 라이센스 확인 및 병합
en | Executando... || Running...
de | Executando... || Läuft...
zh-cn | Executando... || 跑步...
pl | Executando... || Działanie...
ko | Executando... || 달리기...
en | Chinês Simplificado || Simplified Chinese
de | Chinês Simplificado || Vereinfachtes Chinesisch
zh-cn | Chinês Simplificado || 简体中文
pl | Chinês Simplificado || Uproszczony chiński
ko | Chinês Simplificado || 중국어 간체
en | Total Estimado: || Estimated Total:
de | Total Estimado: || Geschätzte Gesamtsumme:
zh-cn | Total Estimado: || 预计总计：
pl | Total Estimado: || Szacunkowa suma:
ko | Total Estimado: || 예상 합계:
en | Escolha o amigo para a distribuição... || Choose a friend for distribution...
de | Escolha o amigo para a distribuição... || Wählen Sie einen Freund zur Verteilung aus...
zh-cn | Escolha o amigo para a distribuição... || 选择一个朋友进行分发...
pl | Escolha o amigo para a distribuição... || Wybierz znajomego do dystrybucji...
ko | Escolha o amigo para a distribuição... || 배포할 친구를 선택하세요...
en | Mapeie sua biblioteca automaticamente, compartilhe jogos e gerencie controles parentais por idade. || Automatically map your library, share games, and manage parental controls by age.
de | Mapeie sua biblioteca automaticamente, compartilhe jogos e gerencie controles parentais por idade. || Ordnen Sie Ihre Bibliothek automatisch zu, teilen Sie Spiele und verwalten Sie die Kindersicherung nach Alter.
zh-cn | Mapeie sua biblioteca automaticamente, compartilhe jogos e gerencie controles parentais por idade. || 自动映射您的图书馆、共享游戏并按年龄管理家长控制。
pl | Mapeie sua biblioteca automaticamente, compartilhe jogos e gerencie controles parentais por idade. || Automatycznie mapuj swoją bibliotekę, udostępniaj gry i zarządzaj kontrolą rodzicielską według wieku.
ko | Mapeie sua biblioteca automaticamente, compartilhe jogos e gerencie controles parentais por idade. || 자동으로 라이브러리를 매핑하고, 게임을 공유하고, 연령별로 자녀 보호 기능을 관리하세요.
en | Seu @usuário atual: || Your current @user:
de | Seu @usuário atual: || Ihr aktueller @Benutzer:
zh-cn | Seu @usuário atual: || 您当前的@用户：
pl | Seu @usuário atual: || Twój obecny @użytkownik:
ko | Seu @usuário atual: || 귀하의 현재 @사용자:
en | Tem certeza? Esta troca consome 1 das suas trocas restantes. || He is sure? This exchange consumes 1 of your remaining exchanges.
de | Tem certeza? Esta troca consome 1 das suas trocas restantes. || Er ist sicher? Dieser Tausch verbraucht 1 Ihrer verbleibenden Tauschgeschäfte.
zh-cn | Tem certeza? Esta troca consome 1 das suas trocas restantes. || 他确定吗？此兑换消耗您剩余的 1 次兑换。
pl | Tem certeza? Esta troca consome 1 das suas trocas restantes. || Jest pewien? Ta wymiana zużywa 1 z pozostałych wymian.
ko | Tem certeza? Esta troca consome 1 das suas trocas restantes. || 그 사람이 확실해요? 이 교환은 남은 교환 중 1개를 소모합니다.
en | Navegue pela loja e clique em || Browse the store and click
de | Navegue pela loja e clique em || Durchsuchen Sie den Shop und klicken Sie
zh-cn | Navegue pela loja e clique em || 浏览商店并点击
pl | Navegue pela loja e clique em || Przeglądaj sklep i kliknij
ko | Navegue pela loja e clique em || 매장을 둘러보고 클릭하세요.
en | anos || years
de | anos || Jahre
zh-cn | anos || 年
pl | anos || lata
ko | anos || 연령
en | Talvez você conheça || Maybe you know
de | Talvez você conheça || Vielleicht weißt du es
zh-cn | Talvez você conheça || 也许你知道
pl | Talvez você conheça || Może wiesz
ko | Talvez você conheça || 아마도 당신은 알고 있을 것이다
en | Ver ofertas → || View offers →
de | Ver ofertas → || Angebote ansehen →
zh-cn | Ver ofertas → || 查看优惠 →
pl | Ver ofertas → || Zobacz oferty →
ko | Ver ofertas → || 제안 보기 →
en | Detalhes do Perfil / Notas: || Profile Details/Notes:
de | Detalhes do Perfil / Notas: || Profildetails/Anmerkungen:
zh-cn | Detalhes do Perfil / Notas: || 个人资料详情/注释：
pl | Detalhes do Perfil / Notas: || Szczegóły profilu/Notatki:
ko | Detalhes do Perfil / Notas: || 프로필 세부정보/참고:
en | Esvaziar Carrinho || Empty Cart
de | Esvaziar Carrinho || Leerer Warenkorb
zh-cn | Esvaziar Carrinho || 空购物车
pl | Esvaziar Carrinho || Pusty wózek
ko | Esvaziar Carrinho || 빈 장바구니
en | Configurações da conta || Account Settings
de | Configurações da conta || Kontoeinstellungen
zh-cn | Configurações da conta || 账户设置
pl | Configurações da conta || Ustawienia konta
ko | Configurações da conta || 계정 설정
en | Remover || Remove
de | Remover || Entfernen
zh-cn | Remover || 消除
pl | Remover || Usunąć
ko | Remover || 제거하다
en | Idioma de Preferência (interface e avaliações): || Preferred Language (interface and reviews):
de | Idioma de Preferência (interface e avaliações): || Bevorzugte Sprache (Benutzeroberfläche und Rezensionen):
zh-cn | Idioma de Preferência (interface e avaliações): || 首选语言（界面和评论）：
pl | Idioma de Preferência (interface e avaliações): || Preferowany język (interfejs i recenzje):
ko | Idioma de Preferência (interface e avaliações): || 선호하는 언어(인터페이스 및 리뷰):
en | Biblioteca || Library
de | Biblioteca || Bibliothek
zh-cn | Biblioteca || 图书馆
pl | Biblioteca || Biblioteka
ko | Biblioteca || 도서관
en | Resultados para || Results for
de | Resultados para || Ergebnisse für
zh-cn | Resultados para || 结果：
pl | Resultados para || Wyniki dla
ko | Resultados para || 다음에 대한 결과
en | Voltar para a Loja || Return to Store
de | Voltar para a Loja || Zurück zum Store
zh-cn | Voltar para a Loja || 返回商店
pl | Voltar para a Loja || Wróć do sklepu
ko | Voltar para a Loja || 매장으로 돌아가기
en | Na sua lista de desejos || On your wish list
de | Na sua lista de desejos || Auf Ihrer Wunschliste
zh-cn | Na sua lista de desejos || 在您的愿望清单上
pl | Na sua lista de desejos || Na Twojej liście życzeń
ko | Na sua lista de desejos || 당신의 위시리스트에
en | pessoas acharam esta análise útil || people acharloved this review helpful
de | pessoas acharam esta análise útil || Leute acharliebten diese Bewertung hilfreich
zh-cn | pessoas acharam esta análise útil || 人们char喜欢这篇评论，很有帮助
pl | pessoas acharam esta análise útil || ludzie acharuwielbiali, że ta recenzja była pomocna
ko | pessoas acharam esta análise útil || achar명이 이 리뷰를 좋아했습니다.
en | Nome de exibição || Display name
de | Nome de exibição || Anzeigename
zh-cn | Nome de exibição || 显示名称
pl | Nome de exibição || Nazwa wyświetlana
ko | Nome de exibição || 표시 이름
en | Você precisa adquirir este jogo para publicar uma análise. || You must purchase this game to post a review.
de | Você precisa adquirir este jogo para publicar uma análise. || Sie müssen dieses Spiel kaufen, um eine Rezension abzugeben.
zh-cn | Você precisa adquirir este jogo para publicar uma análise. || 您必须购买该游戏才能发表评论。
pl | Você precisa adquirir este jogo para publicar uma análise. || Aby opublikować recenzję, musisz kupić tę grę.
ko | Você precisa adquirir este jogo para publicar uma análise. || 리뷰를 게시하려면 이 게임을 구매해야 합니다.
en | Este jogo possui classificação livre. || This game is free to play.
de | Este jogo possui classificação livre. || Dieses Spiel ist kostenlos spielbar.
zh-cn | Este jogo possui classificação livre. || 这个游戏是免费的。
pl | Este jogo possui classificação livre. || Ta gra jest darmowa.
en | Dados do perfil atualizados com sucesso! || Profile data updated successfully!
ko | Este jogo possui classificação livre. || 이 게임은 무료로 플레이할 수 있습니다.
en | gosto de jogos e as vezes jogo. || I like games and sometimes I play.
en | Apenas letras, números e underscore || Only letters, numbers and underscore
de | Apenas letras, números e underscore || Nur Buchstaben, Zahlen und Unterstrich
zh-cn | Apenas letras, números e underscore || 仅限字母、数字和下划线
pl | Apenas letras, números e underscore || Tylko litery, cyfry i podkreślenie
ko | Apenas letras, números e underscore || 문자, 숫자, 밑줄만 가능
en | Sem sugestões no momento. || No suggestions at this time.
de | Sem sugestões no momento. || Derzeit keine Vorschläge.
zh-cn | Sem sugestões no momento. || 目前没有建议。
pl | Sem sugestões no momento. || W tej chwili nie ma żadnych sugestii.
ko | Sem sugestões no momento. || 지금은 제안사항이 없습니다.
en | Em uso por parentes: || In use by relatives:
de | Em uso por parentes: || Im Einsatz bei Angehörigen:
en | Corrida Divertida é o party game definitivo para toda a família! Escolha entre dezenas de personagens carismáticos, dispute pistas malucas cheias de atalhos secretos e use power-ups hilários para virar a corrida no último segundo. Jogue em tela dividida com até quatro pessoas no mesmo sofá. || Corrida Divertida is the ultimate party game for the whole family! Choose from dozens of charismatic characters, compete on malucas tracks full of secret shortcuts, and use hilarious power-ups to turn the race around at the last second. Play split-screen with up to four people on the same couch.
en | Karts || Karts
en | Festa || Party
en | Festa || Party
zh-cn | Em uso por parentes: || 亲戚使用中：
en | Colorido || Colorful
en | Colorido || Colorful
pl | Em uso por parentes: || Używany przez krewnych:
en | Multijogador Local || Local Multiplayer
en | Multijogador Local || Local Multiplayer
ko | Em uso por parentes: || 친척이 사용 중:
en | Fácil de Aprender || Easy to Learn
en | Fácil de Aprender || Easy to Learn
en | Você atingiu o limite de trocas de @usuário. || You have reached the @user exchange limit.
en | SO: Windows 10 64-bit · CPU: Intel i3-6100 · RAM: 4 GB · GPU: GTX 650 · 15 GB || OS: Windows 10 64-bit · CPU: Intel i3-6100 · RAM: 4 GB · GPU: GTX 650 · 15 GB
en | SO: Windows 10 64-bit · CPU: Intel i3-6100 · RAM: 4 GB · GPU: GTX 650 · 15 GB || OS: Windows 10 64-bit · CPU: Intel i3-6100 · RAM: 4 GB · GPU: GTX 650 · 15 GB
de | Você atingiu o limite de trocas de @usuário. || Sie haben das @user-Austauschlimit erreicht.
zh-cn | Você atingiu o limite de trocas de @usuário. || 您已达到@user 交换限制。
en | SO: Windows 10 64-bit · CPU: Intel i5-7400 · RAM: 8 GB · GPU: GTX 1050 · 15 GB SSD || OS: Windows 10 64-bit · CPU: Intel i5-7400 · RAM: 8 GB · GPU: GTX 1050 · ​​15 GB SSD
en | SO: Windows 10 64-bit · CPU: Intel i5-7400 · RAM: 8 GB · GPU: GTX 1050 · 15 GB SSD || OS: Windows 10 64-bit · CPU: Intel i5-7400 · RAM: 8 GB · GPU: GTX 1050 · ​​15 GB SSD
pl | Você atingiu o limite de trocas de @usuário. || Osiągnąłeś limit wymiany @user.
en | Corridas para toda a família. Karts coloridos e pistas malucas! || Races for the whole family. Colorful karts and malucas tracks!
en | Corridas para toda a família. Karts coloridos e pistas malucas! || Races for the whole family. Colorful karts and malucas tracks!
en | Positivas || Positive
en | Positivas || Positive
ko | Você atingiu o limite de trocas de @usuário. || @user 교환 한도에 도달했습니다.
en | Deixe um comentário... || Leave a comment...
en | 5 de junho de 2022 || June 5, 2022
en | 5 de junho de 2022 || June 5, 2022
en | Multijogador local || Local Multiplayer
en | Multijogador local || Local Multiplayer
de | Deixe um comentário... || Hinterlasse einen Kommentar...
en | Tela dividida || Split screen
en | Tela dividida || Split screen
zh-cn | Deixe um comentário... || 发表评论...
en | Suporte total a controle || Full control support
en | Italiano || Italian
en | Suporte total a controle || Full control support
pl | Deixe um comentário... || Zostaw komentarz...
ko | Deixe um comentário... || 댓글을 남겨주세요...
en | Jogos || Games
de | Jogos || Spiele
zh-cn | Jogos || 游戏
pl | Jogos || Zawody sportowe
ko | Jogos || 계략
en | Saldo Steam || Steam Balance
de | Saldo Steam || Dampfbilanz
zh-cn | Saldo Steam || 蒸汽平衡
pl | Saldo Steam || Bilans pary
ko | Saldo Steam || 스팀 밸런스
en | Sem amigos ainda. || No friends yet.
de | Sem amigos ainda. || Noch keine Freunde.
zh-cn | Sem amigos ainda. || 还没有朋友。
pl | Sem amigos ainda. || Nie ma jeszcze żadnych przyjaciół.
ko | Sem amigos ainda. || 아직 친구가 없습니다.
en | Presentear || Gifting
de | Presentear || Schenken
zh-cn | Presentear || 送礼
pl | Presentear || Prezenty
ko | Presentear || 선물하기
en | Forma de Pagamento || Payment Method
de | Forma de Pagamento || Zahlungsmethode
zh-cn | Forma de Pagamento || 付款方式
pl | Forma de Pagamento || Metoda płatności
ko | Forma de Pagamento || 결제수단
en | Nenhum usuário encontrado com || No users found with
de | Nenhum usuário encontrado com || Keine Benutzer mit gefunden
zh-cn | Nenhum usuário encontrado com || 没有找到用户
pl | Nenhum usuário encontrado com || Nie znaleziono użytkowników z
ko | Nenhum usuário encontrado com || 다음과 같은 사용자를 찾을 수 없습니다.
en | Criar Conta || Create Account
de | Criar Conta || Benutzerkonto erstellen
zh-cn | Criar Conta || 创建账户
pl | Criar Conta || Utwórz konto
ko | Criar Conta || 계정 만들기
en | Via Família Steam || Via Steam Family
de | Via Família Steam || Über Steam Family
zh-cn | Via Família Steam || 通过Steam家庭
pl | Via Família Steam || Przez rodzinę Steam
ko | Via Família Steam || Steam 가족을 통해
en | Comprar Cópia Extra || Buy Extra Copy
de | Comprar Cópia Extra || Kaufen Sie ein zusätzliches Exemplar
zh-cn | Comprar Cópia Extra || 购买额外副本
pl | Comprar Cópia Extra || Kup dodatkową kopię
ko | Comprar Cópia Extra || 추가 사본 구매
en | Para continuar, informe sua Data de Nascimento: || To continue, enter your Date of Birth:
de | Para continuar, informe sua Data de Nascimento: || Um fortzufahren, geben Sie Ihr Geburtsdatum ein:
zh-cn | Para continuar, informe sua Data de Nascimento: || 要继续，请输入您的出生日期：
pl | Para continuar, informe sua Data de Nascimento: || Aby kontynuować, wpisz swoją datę urodzenia:
ko | Para continuar, informe sua Data de Nascimento: || 계속하려면 생년월일을 입력하세요.
en | Meu perfil || My profile
de | Meu perfil || Mein Profil
zh-cn | Meu perfil || 我的个人资料
pl | Meu perfil || Mój profil
ko | Meu perfil || 내 프로필
en | Destinatário deste presente: || Recipient of this gift:
de | Destinatário deste presente: || Empfänger dieses Geschenks:
zh-cn | Destinatário deste presente: || 这份礼物的接受者：
pl | Destinatário deste presente: || Odbiorca tego prezentu:
ko | Destinatário deste presente: || 이 선물을 받는 사람:
en | jogo(s). || games).
de | jogo(s). || Spiele).
zh-cn | jogo(s). || 游戏）。
pl | jogo(s). || zawody sportowe).
ko | jogo(s). || 계략).
en | Nome de usuário || Username
de | Nome de usuário || Benutzername
zh-cn | Nome de usuário || 用户名
pl | Nome de usuário || Nazwa użytkownika
ko | Nome de usuário || 사용자 이름
en | Publicado em || Published in
de | Publicado em || Veröffentlicht in
zh-cn | Publicado em || 发表于
pl | Publicado em || Opublikowano w
ko | Publicado em || 에 게시됨
en | Disponível: || Available:
de | Disponível: || Verfügbar:
zh-cn | Disponível: || 可用的：
pl | Disponível: || Dostępny:
ko | Disponível: || 사용 가능:
en | está pronto no seu carrinho. || It's ready in your cart.
de | está pronto no seu carrinho. || Es liegt bereits in Ihrem Warenkorb.
zh-cn | está pronto no seu carrinho. || 它已准备在您的购物车中。
pl | está pronto no seu carrinho. || Jest gotowy w Twoim koszyku.
ko | está pronto no seu carrinho. || 장바구니에 준비되어 있습니다.
en | Seu Carrinho de Compras || Your Shopping Cart
de | Seu Carrinho de Compras || Ihr Warenkorb
zh-cn | Seu Carrinho de Compras || 您的购物车
pl | Seu Carrinho de Compras || Twój koszyk
ko | Seu Carrinho de Compras || 장바구니
en | Adicionar à Lista de Desejos || Add to Wishlist
de | Adicionar à Lista de Desejos || Zur Wunschliste hinzufügen
zh-cn | Adicionar à Lista de Desejos || 添加到愿望清单
pl | Adicionar à Lista de Desejos || Dodaj do listy życzeń
